PRODUCTID,PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE
0002-1200_4bd46cbe-cdc1-4329-a8e7-22816bd7fc33,0002-1200,HUMAN PRESCRIPTION DRUG,Amyvid,,Florbetapir F 18,"INJECTION, SOLUTION",INTRAVENOUS,20120601,,NDA,NDA202008,Eli Lilly and Company,FLORBETAPIR F-18,51,mCi/mL,"Radioactive Diagnostic Agent [EPC],Positron Emitting Activity [MoA]",
0002-1407_14757f9d-f641-4836-acf3-229265588d1d,0002-1407,HUMAN PRESCRIPTION DRUG,Quinidine Gluconate,,Quinidine Gluconate,SOLUTION,INTRAVENOUS,19500712,,NDA,NDA007529,Eli Lilly and Company,QUINIDINE GLUCONATE,80,mg/mL,"Antiarrhythmic [EPC],Cytochrome P450 2D6 Inhibitor [EPC],Cytochrome P450 2D6 Inhibitors [MoA]",
0002-1433_aaae85ae-9295-465f-b938-463b74b8d5bd,0002-1433,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20141107,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,0.75,mg/.5mL,"GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [Chemical/Ingredient],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",
0002-1434_aaae85ae-9295-465f-b938-463b74b8d5bd,0002-1434,HUMAN PRESCRIPTION DRUG,Trulicity,,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,20141107,,BLA,BLA125469,Eli Lilly and Company,DULAGLUTIDE,1.5,mg/.5mL,"GLP-1 Receptor Agonist [EPC],Glucagon-Like Peptide 1 [Chemical/Ingredient],Glucagon-like Peptide-1 (GLP-1) Agonists [MoA]",
0002-1445_2ecde4c5-5128-4725-9cf5-64384857eb1c,0002-1445,HUMAN PRESCRIPTION DRUG,TALTZ,,ixekizumab,"INJECTION, SOLUTION",SUBCUTANEOUS,20160322,,BLA,BLA125521,Eli Lilly and Company,IXEKIZUMAB,80,mg/mL,"Interleukin-17A Antagonist [EPC],Interleukin-17A Antagonists [MoA]",
0002-1975_23295988-5c83-40af-99e3-67ac0b5a9562,0002-1975,HUMAN PRESCRIPTION DRUG,AXIRON,,testosterone,SOLUTION,TOPICAL,20101123,,NDA,NDA022504,Eli Lilly and Company,TESTOSTERONE,30,mg/1.5mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0002-1977_23295988-5c83-40af-99e3-67ac0b5a9562,0002-1977,HUMAN PRESCRIPTION DRUG,AXIRON,,testosterone,SOLUTION,TOPICAL,20101123,,NDA,NDA022504,Eli Lilly and Company,TESTOSTERONE,30,mg/1.5mL,"Androgen [EPC],Androgen Receptor Agonists [MoA],Androstanes [Chemical/Ingredient]",CIII
0002-3004_7bf36d98-220e-4e2b-8c26-8c939c6b4473,0002-3004,HUMAN PRESCRIPTION DRUG,Prozac,Weekly,Fluoxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,20010316,,NDA,NDA021235,Eli Lilly and Company,FLUOXETINE HYDROCHLORIDE,90,mg/1,"Serotonin Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]",
0002-3227_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3227,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,10,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
0002-3228_324a23e9-1d68-42ba-8643-85cb35d45e5d,0002-3228,HUMAN PRESCRIPTION DRUG,Strattera,,Atomoxetine hydrochloride,CAPSULE,ORAL,20021126,,NDA,NDA021411,Eli Lilly and Company,ATOMOXETINE HYDROCHLORIDE,25,mg/1,"Norepinephrine Reuptake Inhibitor [EPC],Norepinephrine Uptake Inhibitors [MoA]",
